web-scraper-order,web-scraper-start-url,joblink,joblink-href,Job,company,Location,keyskills,min experince,salary,industry,functional area,role category,role,employement type,ug education ,pg education,job resposibilities,job requirements
"1551714960-3621","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-39","Data Scientist","https://www.naukri.com/job-listings-Data-Scientist-NetCracker-Technology-Solutions-India-Pvt-Ltd-Bengaluru-6-to-10-years-280219003575?src=premjobsearchDesk&sid=15517148851430&xp=12&px=39","null","null","null","null","null","null","null","null","null","Send me Jobs like this","null","null","null","null","null"
"1551714099-3321","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-45","Head Planning","https://www.naukri.com/job-listings-Head-Planning-ACH-Management-Consultants-Pvt-Ltd-Mumbai-18-to-28-years-270219009764?src=premjobsearchDesk&sid=15517140096895&xp=12&px=45","Head Planning","ACH Management Consultants Pvt Ltd  hiring for A leading real estate company","Mumbai","cost control     project management     planning     planning and monitoring     budgeting and cost control     monitoring     planning head     pre construction planning","18 - 28 yrs","Best In Industry","Real Estate  /    Property","Functional Area:     Top Management","Head/VP/GM-Corporate Planning/Strategy","Permanent Job, Full Time","null","B.Tech/B.E. - Any Specialization, Civil","PG Diploma - Any Specialization","null","null"
"1551717450-4271","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-26","Ruby on Rails Developer - Cloud Computing","https://www.naukri.com/job-listings-Ruby-on-Rails-Developer-Cloud-Computing-Emploi-Consultancy-Gurgaon-Gurugram-2-to-7-years-270219903759?src=premjobsearchDesk&sid=15517173726811&xp=12&px=26","Ruby on Rails Developer - Cloud Computing","Emploi Consultancy","Gurgaon,    Gurugram","Javascript     Node.Js     Angularjs     CSS     Html5     MongoDB     Web Services     Rest     Ruby     SOAP     Ruby on Rails Developer","2 - 7 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Computers","Any Postgraduate - Any Specialization","null","null"
"1551715149-3686","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-37","Hiring Dev Lead with Experience in Java, Microservices and Spring Boot","https://www.naukri.com/job-listings-Hiring-Dev-Lead-with-Experience-in-Java-Microservices-and-Spring-Boot-UNIFY-TECHNOLOGIES-PVT-LTD-Hyderabad-7-to-12-years-250219006175?src=premjobsearchDesk&sid=15517151687796&xp=47&px=37","Hiring Dev Lead with Experience in Java, Microservices and Spring Boot","UNIFY TECHNOLOGIES PVT LTD","Hyderabad","Hibernate     Spring Boot     Rest     Java     Microservices     Web Services     Javascript     Design Patterns     GIT     Web Technologies","7 - 12 yrs","INR     20,00,000 - 25,00,000 P.A.","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","null","null","","Unify Hyderabad is hiring Dev Lead. Please find the follwoing JD and apply if you are interested to pursue this opportunity."
"1551715443-3756","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-36","Onesource & SAP FI Consultant","https://www.naukri.com/job-listings-Onesource-SAP-FI-Consultant-Axim-Technologies-Bengaluru-5-to-10-years-260219000551?src=premjobsearchDesk&sid=15517153547415&xp=27&px=36","Onesource & SAP FI Consultant","Axim Technologies","Bengaluru","Finance     Co     SAP FICO     Indirect Taxation     SAP FI     Business Process     SAP SD     Test Scripts     Process Integration     Test Cases","5 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - ERP   ,     CRM","System Design/Implementation/ERP/CRM","Functional Outside Consultant","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551715743-3823","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-35","Immediate Openings for UI- Developer","https://www.naukri.com/job-listings-Immediate-Openings-for-UI-Developer-ValGenesis-India-P-Ltd-Chennai-Taramani-4-to-7-years-260219007148?src=premjobsearchDesk&sid=15517156089507&xp=10&px=35","Immediate Openings for UI- Developer","ValGenesis India P Ltd","Chennai(Taramani)","Javascript     UI Development     JQuery     Bootstrap     CSS     Html5     UX     GIT     SVN     Communication Skills","4 - 7 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     Design   ,     Creative   ,     User Experience","Creative","User Experience Designer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","M.Tech - Any Specialization, MCA - Computers","","null"
"1551718258-4560","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-20","Member Technical Staff","https://www.naukri.com/job-listings-Member-Technical-Staff-NetApp-Bengaluru-6-to-8-years-250219901526?src=premjobsearchDesk&sid=15517182064933&xp=23&px=20","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1551713515-3138","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-48","Datalake Moedrization Solution Lead","https://www.naukri.com/job-listings-Datalake-Moedrization-Solution-Lead-TRH-Consultancy-Services-Greater-Noida-11-to-16-years-270219003275?src=premjobsearchDesk&sid=15517135274940&xp=45&px=48","Datalake Moedrization Solution Lead","TRH Consultancy Services","Greater Noida","Hadoop     Hive     NoSQL     Spark     Cloudera     Big Data     Amazon Redshift     Pig     MongoDB     Machine Learning     DataLake     DataLake Modernization     Cloud     AWS     Azure     Hortonwork","11 - 16 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - DBA   ,     Datawarehousing","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization, Computers, B.Sc - Computers, Maths, B.A - Any Specialization, Maths, Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551715498-3770","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-36","Senior Technical Architect (java / or and / .net)","https://www.naukri.com/job-listings-Senior-Technical-Architect-java-or-and-net-Anlage-Infotech-I-Pvt-Ltd-Pune-10-to-18-years-260219003979?src=premjobsearchDesk&sid=15517153547415&xp=13&px=36","Senior Technical Architect (java / or and / .net)","Anlage Infotech (I) Pvt. Ltd.","Pune","Senior Technical Architect     senior tech architect     senior tech architecture     senior tech technical architect     Java Architecture     .Net Architect     software architect     software architecture     Hands - on     Individual Contributor","10 - 18 yrs","INR     35,00,000 - 65,00,000 P.A.","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Technical Architect","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","null","null","null"
"1551714695-3526","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-41","Manager, Business Intelligence","https://www.naukri.com/job-listings-Manager-Business-Intelligence-SnapSeaarch-Mumbai-5-to-10-years-280219006723?src=premjobsearchDesk&sid=15517145916131&xp=7&px=41","null","null","null","null","null","null","null","Telephone:91-79-30989800","Analytics & BI","Business Analyst","Permanent Job, Full Time","null","null","null","null"
"1551717118-4155","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-28","Tech Lead (e-commerce)","https://www.naukri.com/job-listings-Tech-Lead-e-commerce-JobsTab-Consultants-Bengaluru-8-to-12-years-270219004522?src=premjobsearchDesk&sid=15517170865460&xp=28&px=28","Tech Lead (e-commerce)","JobsTab Consultants","Bengaluru","Java     Rest     Web Services     SOAP     Spring     Oracle SQL     DBMS     OOP     Web Technologies     PHP     Technical Lead     SQL     NoSQL","8 - 12 yrs","INR     25,00,000 - 35,00,000 P.A.","Internet  /    Ecommerce","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","B.Tech/B.E. - Computers","Doctorate Not Required","null","null"
"1551715470-3762","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-36","Senior SAP MDG Consultant - MDM/ ERP Modules","https://www.naukri.com/job-listings-Senior-SAP-MDG-Consultant-MDM-ERP-Modules-Axim-Technologies-Bengaluru-8-to-10-years-260219000743?src=premjobsearchDesk&sid=15517153547415&xp=21&px=36","Senior SAP MDG Consultant - MDM/ ERP Modules","Axim Technologies","Bengaluru","Requirement Gathering     Gap Analysis     Data Governance     Functional Analysis     Agile Project Management     Business Case     SCOPE     Master Data Management     MM     SAP MDM","8 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - ERP   ,     CRM","System Design/Implementation/ERP/CRM","Functional Outside Consultant","Permanent Job, Full Time","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Computers","M.Tech - Any Specialization, Computers","null","null"
"1551718800-4754","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-2","Java Full Stack - Technical Lead","https://www.naukri.com/job-listings-Java-Full-Stack-Technical-Lead-InfoBeans-Technologies-Limited-Bengaluru-6-to-10-years-200219005158?src=premjobsearchDesk&sid=15517187698335&xp=29&px=2","Java Full Stack - Technical Lead","InfoBeans Technologies Limited","Bengaluru","spring boot     jpa     j2ee     core java     maven     angularjs     Mean Stack     Mean Stack Developer","6 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","Any Graduate - Any Specialization","null","Role:  Java Full Stack - Technical Lead
  Location:  Bangalore.","Skill Matrix:  
    Languages:    Core Java, J2EE, MEAN Stack    Framework:   Struts, Hibernate, Spring (IOC, MVC, boot)    Web Servers:   Apache Tomcat, WAMP, XAMP, Jetty          UI:   AngularJS, ReactJS, EmberJS, NodeJS    Database:   MongoDB / NOSQL  , MySql, SqlServer and Oracle  Extensive experience with   Design patterns  (Creationa l/ behavioural and architectural).   In depth knowledge and experience of working with  Spring (Boot, Core, MVC, Security, Batch, Cloud), Hibernate, Maven, Gradle etc.   
  Job Description
  Working in a fast paced environment, you will be collaborating with product management, usability experts and engineering teams to understand customer requirements and to create a cross-browser dynamic interface with rich user interaction capabilities.
 Not only comply with Best Practices for Web standards but also ride on the futuristic Rich Internet Application techniques, to ensure our customers always benefits from an efficient user interface.
 Performance, scalability, and security will be the integral goals while delivering the top-rated applications to our customers."
"1551714189-3354","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-44","Lead Platform Architect","https://www.naukri.com/job-listings-Lead-Platform-Architect-AURORA-RECRUITMENT-CONSULTING-Chennai-10-to-20-years-280219000005?src=premjobsearchDesk&sid=15517141601034&xp=29&px=44","Lead Platform Architect","AURORA RECRUITMENT CONSULTING","Chennai","javascript     java     python     big data     hadoop     iot     cloud     aws     dynamo db     Node.Js     Docker     SQL     Azure     GCP","10 - 20 yrs","INR     25,00,000 - 40,00,000 P.A. Salary Not a Constraint for the right candidate","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Technical Architect","Permanent Job, Full Time","B.Tech/B.E. - Computers","MS/M.Sc(Science) - Computers","null","null"
"1551718863-4777","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-2","UI Developer - Angularjs/react.js/javascript","https://www.naukri.com/job-listings-UI-Developer-Angularjs-react-js-javascript-DataGroup-Geospatial-Technologies-Pvt-Ltd-Bengaluru-8-to-10-years-040319900843?src=premjobsearchDesk&sid=15517187698335&xp=6&px=2","UI Developer - Angularjs/react.js/javascript","DataGroup Geospatial Technologies Pvt. Ltd.","Bengaluru","JQuery     Javascript     CSS     HTML     UI Development     Html5     Angularjs     React.Js     D3.Js     Server Side","8 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Computers","M.Tech - Computers, MCA - Computers, MS/M.Sc(Science) - Computers","Target Educational Institutes : NIT, IIT, op Engg colleges","null"
"1551714085-3317","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-45","AI Technical Architect_grater Noida Location_immediate Joiner","https://www.naukri.com/job-listings-AI-Technical-Architect-grater-Noida-Location-immediate-Joiner-Pathfinder-Management-Consulting-India-Ltd-Noida-8-to-13-years-270219009693?src=premjobsearchDesk&sid=15517140096895&xp=16&px=45","AI Technical Architect_grater Noida Location_immediate Joiner","Pathfinder Management Consulting (India) Ltd.","Noida","AI Technical Architect     Machine learning     ML     Deep Learning     IBM Watson","8 - 13 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Technical Architect","Permanent Job, Full Time","null","null","null","null"
"1551717326-4227","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-27","Sr Asp/.net Web Developer - MS Sql/oracle","https://www.naukri.com/job-listings-Sr-Asp-net-Web-Developer-MS-Sql-oracle-Career-Infosystem-Bengaluru-8-to-12-years-270219008788?src=premjobsearchDesk&sid=15517172256886&xp=6&px=27","Sr Asp/.net Web Developer - MS Sql/oracle","Career Infosystem","Bengaluru","HTML     Java     Javascript     CSS     ASP.Net     Sharepoint     C#     Web Services     ASP     XSLT     CS5     Dreamweaver     DHTML","8 - 12 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Computers","Any Postgraduate - Any Specialization","null","null"
"1551717308-4220","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-27","Sr Java Developer - Webservices/ XML","https://www.naukri.com/job-listings-Sr-Java-Developer-Webservices-XML-Career-Infosystem-Delhi-NCR-Noida-8-to-10-years-270219008197?src=premjobsearchDesk&sid=15517172256886&xp=13&px=27","Sr Java Developer - Webservices/ XML","Career Infosystem","Delhi NCR,    Noida","Java EE     JMS     JAXB     EJB     Spring     XML     Web Services     Weblogic     JEE     UML     Java Developer","8 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Computers","null","null","null"
"1551713671-3181","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-48","Senior Full Stack Developer - .net/ C#/ Azure","https://www.naukri.com/job-listings-Senior-Full-Stack-Developer-net-C-Azure-Confidential-Chennai-4-to-8-years-041218902732?src=premjobsearchDesk&sid=15517135274940&xp=2&px=48","Senior Full Stack Developer - .net/ C#/ Azure","Confidential","Chennai","Javascript     WCF     SQL Server Development     ASP.Net     MVC     C#     CSS     C#.Net     Xamarin     HTML","4 - 8 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Computers","Any Postgraduate - Any Specialization","null","null"
"1551713730-3199","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-47","Senior Python Developer - Django/flask","https://www.naukri.com/job-listings-Senior-Python-Developer-Django-flask-Career-Infosystem-Mumbai-4-to-6-years-270219004945?src=premjobsearchDesk&sid=15517137072445&xp=34&px=47","Senior Python Developer - Django/flask","Career Infosystem","Mumbai","django     python     c     server side     front end     product development     product management     market intelligence     new product     web development     design     data structures","4 - 6 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - DBA   ,     Datawarehousing","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization, Computers","Any Postgraduate - Any Specialization","null","null"
"1551717577-4316","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-25","Entrepreneur in Residence","https://www.naukri.com/job-listings-Entrepreneur-in-Residence-Pinnacle-Solutions-Bengaluru-2-to-6-years-280219000571?src=premjobsearchDesk&sid=15517175139075&xp=17&px=25","Entrepreneur in Residence","Pinnacle Solutions","Bengaluru","Online Marketing     Marketing Analytics     Mobile Commerce     Product Development     Entrepreneur","2 - 6 yrs","Not Disclosed by Recruiter","Internet  /    Ecommerce","Functional Area:     Strategy   ,     Management Consulting   ,     Corporate Planning","Senior Management","VP/Principal/Partner","Permanent Job, Full Time","Any Graduate - Any Specialization","MBA/PGDM - Any Specialization","null","null"
"1551714481-3456","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-42","Lead  Physical Design Engineers","https://www.naukri.com/job-listings-Lead-Physical-Design-Engineers-Mulya-Consulting-Bengaluru-Ahmedabad-7-to-12-years-271117002537?src=premjobsearchDesk&sid=15517144375677&xp=27&px=42","Lead  Physical Design Engineers","Mulya Consulting","Bengaluru,    Ahmedabad","physical design     sta     ssta     static timing analysis     cts     cadence     synopsys     innovus     icc     icc2     encounter     primetime     ptsi     mipi     pnr     synthesis     floorplanning     timing closure     physical verification     lvs     drc     parasitic extraction     PCIe     DDR     ddr2     ddr3     ddr4     ddr5","7 - 12 yrs","Not Disclosed by Recruiter","Semiconductors  /    Electronics","Functional Area:     IT Software - Embedded   ,     EDA   ,     VLSI   ,     ASIC   ,     Chip Design","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","M.Tech - Any Specialization, MS/M.Sc(Science) - Any Specialization","Physical Design team is working on block/top level physical design tasks including synthesis, Place & route, STA, EM/IR checks and physical verification. We serve the Tier 1 customers in the semiconductor space. Candidate is expected to have expertise in either Cadence or Synopsys flows and should be capable of executing block or full chip level tasks independently.
 
 
 Qualification/Experience/Skills Required
 7to 12 years of PnR Experience
 
          Hands-on in block level Or Full chip level PnR tasks
 
          Experience in Industry Standard PnR tool flow.
 
          Working knowledge on scripting languages for automation like Tcl OR Perl
 
          Customer interfacing for technical requirements
 
          Mentoring the junior engineers
 
          Handle project team and execute independently
 
 
 Roles & Responsibilities
 
          Independent planning and execution of Netlist-to-GDSII
 
          Full exposure to all aspects of design flows like floorplanning, placement, CTS, routing, crosstalk avoidance, physical verification
 
          Well versed with the level timing closure (STA), timing closure methodologies, ECO generation and predictable convergence
 
          Well versed with parasitic extraction, LVS/DRC and other Physical verification checks.
 
          Well aware of place and route methodologies and hands on experience with timing convergence
 
          Work experience in any of PCIe, MIPI, DDRs is preferable","null"
"1551713315-3068","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-50","UI Developer/web Developer","https://www.naukri.com/job-listings-UI-Developer-web-Developer-Aricent-Technologies-H-Limited-Bengaluru-Marathahalli-8-to-12-years-120219003246?src=premjobsearchDesk&sid=15517132285375&xp=15&px=50","null","null","null","null","null","null","null","null","Email :","null","null","null","null","null","null"
"1551713253-3045","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-50","UI Architect - Html/css/javascript","https://www.naukri.com/job-listings-UI-Architect-Html-css-javascript-V-Employment-Solutions-Pune-10-to-17-years-270219900285?src=premjobsearchDesk&sid=15517132285375&xp=38&px=50","UI Architect - Html/css/javascript","V Employment Solutions","Pune","CSS     Javascript     HTML     UI Development     Ajax     Web Development     PHP     Dojo     UX     Java     JS     Angular     Restful webservices     profiling","10 - 17 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Technical Architect","Permanent Job, Full Time","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Maths","MCA - Computers, MS/M.Sc(Science) - Any Specialization","null","null"
"1551714789-3559","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-40","RPA Specialist","https://www.naukri.com/job-listings-RPA-Specialist-Mastek-Ltd-Navi-Mumbai-10-to-15-years-030818900996?src=premjobsearchDesk&sid=15517147421076&xp=24&px=40","RPA Specialist","Mastek Ltd","Navi Mumbai","SOAP     Rest     Javascript     XML     Java     Prism     Application Development     Microsoft Technologies     Automation Tools     Technology Solutions","10 - 15 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Admin/Maintenance/Security/Datawarehousing","Technical Support Engineer","Permanent Job, Full Time","Any Graduate - Any Specialization","null","null","null"
"1551713962-3277","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-46","Linux Device Driver Emulation","https://www.naukri.com/job-listings-Linux-Device-Driver-Emulation-Talent-Grow-Recruitment-Consultants-Bengaluru-4-to-9-years-270219007210?src=premjobsearchDesk&sid=1551713857191&xp=6&px=46","Linux Device Driver Emulation","Talent Grow Recruitment Consultants","Bengaluru","Linux Device Drivers     Device emulation     Graphics driver     QEMU     integration.","4 - 9 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","null","null","null","null"
"1551714580-3488","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-41","Senior Web Developer - UI with PHP","https://www.naukri.com/job-listings-Senior-Web-Developer-UI-with-PHP-Rage-Communications-Pvt-Ltd-Mumbai-2-to-7-years-050219004051?src=premjobsearchDesk&sid=15517145916131&xp=45&px=41","Senior Web Developer - UI with PHP","Rage Communications Pvt. Ltd.","Mumbai","jQuery     Javascript     Html5     CSS     Notepad     UI Development     UI     ui developer     php     Core PHP","2 - 7 yrs","Not Disclosed by Recruiter","Media  /    Entertainment  /    Internet","Functional Area:     IT Software - Other","Programming & Design","Software Developer","Permanent Job, Full Time","null","null","null","null"
"1551713840-3236","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-46","Software Engineer - Thread Stack Development - C/c++","https://www.naukri.com/job-listings-Software-Engineer-Thread-Stack-Development-C-c-Career-Infosystem-Bengaluru-5-to-10-years-281118008567?src=premjobsearchDesk&sid=1551713857191&xp=47&px=46","Software Engineer - Thread Stack Development - C/c++","Career Infosystem","Bengaluru","C     C++     RTOS     Software Engineering     Programming     Thread Stack development","5 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551716850-4052","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-30","C Developer, : Oracle -bangalore","https://www.naukri.com/job-listings-C-Developer-Oracle-bangalore-Oracle-India-Pvt-Ltd-Bengaluru-5-to-10-years-170219001176?src=premjobsearchDesk&sid=15517168273353&xp=31&px=30","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1551715168-3693","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-37","Hiring for DM - Product Planning with a Prestigious Car OEM, Gurgaon","https://www.naukri.com/job-listings-Hiring-for-DM-Product-Planning-with-a-Prestigious-Car-OEM-Gurgaon-Ventures-HRD-Centre-Private-Limited-Delhi-NCR-5-to-10-years-250219006767?src=premjobsearchDesk&sid=15517151687796&xp=40&px=37","Hiring for DM - Product Planning with a Prestigious Car OEM, Gurgaon","Ventures HRD Centre Private Limited","Delhi NCR","Product Planning     product lifecycle     product strategy     Competitor Analysis     competitor research","5 - 10 yrs","INR     13,00,000 - 20,00,000 P.A.","Automobile  /    Auto Anciliary  /    Auto Components","Functional Area:     Other","Other","Permanent Job, Full Time","null","B.Tech/B.E. - Any Specialization","Post Graduation Not Required","null","null"
"1551717080-4140","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-28","Hiring -  Embedded Engineer - US South Illinois (h1b, US Citizen, GC)","https://www.naukri.com/job-listings-Hiring-Embedded-Engineer-US-South-Illinois-h1b-US-Citizen-GC-Agiliad-Technologies-Private-Limited-United-States-U-S-5-to-10-years-270219003008?src=premjobsearchDesk&sid=15517170865460&xp=43&px=28","Hiring -  Embedded Engineer - US South Illinois (h1b, US Citizen, GC)","Agiliad Technologies Private Limited","United States (U.S)","C     C++     RTOS     VXWorks     QNX     Linux     Embedded Systems     Firmware Development     OS Internals     Protocol Stack","5 - 10 yrs","Best in the industry","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","null","null","Experience in firmware Development on any one OS platforms (with strong hands-on and expertise in OS internals) Like Linux, VxWorks, QNX, FreeRTOS, Windows Embedded etc.","Hands-on with Network stack with communication protocol stack like CAN, CANOpen, EtherNet/IP, Profibus, EtherCAT"
"1551713768-3212","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-47","Operations Manager - Ecommerce","https://www.naukri.com/job-listings-Operations-Manager-Ecommerce-Emploi-Consultancy-Delhi-2-to-5-years-011018900942?src=premjobsearchDesk&sid=15517137072445&xp=21&px=47","Operations Manager - Ecommerce","Emploi Consultancy","Delhi","Personnel     Recruitment     HR     Training     Operations Management     IT Skills     Stock Control     MS Office","2 - 5 yrs","Not Disclosed by Recruiter","Internet  /    Ecommerce","Functional Area:     ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations","Operations","Operations Manager","Permanent Job, Full Time","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization","null","null","null"
"1551717782-4388","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-23","Business Unit Head - Power Distribution - EPC","https://www.naukri.com/job-listings-Business-Unit-Head-Power-Distribution-EPC-East-India-Udyog-Ltd-Delhi-NCR-Ghaziabad-UP-20-to-30-years-280219900016?src=premjobsearchDesk&sid=15517177954032&xp=45&px=23","Business Unit Head - Power Distribution - EPC","East India Udyog Ltd","Delhi NCR,    Ghaziabad,    UP","Program Governance     Power Distribution     Project Management     EPC     Customer Satisfaction     Management Reporting     Team Handling","20 - 30 yrs","Not Disclosed by Recruiter","Industrial Products  /    Heavy Machinery","Functional Area:     Sales   ,     Retail   ,     Business Development","Senior Management","Head/VP/GM/National Manager -Sales","Permanent Job, Full Time","B.Tech/B.E. - Electrical","Any Postgraduate - Any Specialization","null","null"
"1551715270-3721","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-37","Software Development Manager","https://www.naukri.com/job-listings-Software-Development-Manager-Comcast-India-Engineering-Center-I-LLP-Chennai-13-to-16-years-250219901957?src=premjobsearchDesk&sid=15517151687796&xp=12&px=37","Software Development Manager","Comcast India Engineering Center (I) LLP","Chennai","Windows System Administration     System Engineering     Scrum Master     Networking     VMware     Agile     Project Management     Development Management     Senior Management     Software Development","13 - 16 yrs","Not Disclosed by Recruiter","Media  /    Entertainment  /    Internet","Functional Area:     IT Software - Application Programming   ,     Maintenance","Admin/Maintenance/Security/Datawarehousing","IT/Networking-Manager","Permanent Job, Full Time","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551716636-3977","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-32","Java Lead","https://www.naukri.com/job-listings-Java-Lead-Iomedia-India-Pvt-Ltd-Delhi-NCR-Gurgaon-8-to-12-years-260219901644?src=premjobsearchDesk&sid=15517165316160&xp=6&px=32","Java Lead","Iomedia India Pvt. Ltd.","Delhi NCR,    Gurgaon","hibernate     spring mvc     core java     maven     j2ee     mysql     soa     sql server     open source     rdbms     java     spring     spring boot     oracle","8 - 12 yrs","Not Disclosed by Recruiter","Media  /    Entertainment  /    Internet","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
